HYG_ID,Name,Code,X,Y,3D_X,3D_Y,3D_Z,Spectrum,AbsMag,ColorIndex,Habitable
101446,Alpha Indi,HIP 101772,126,267,13.36354,-16.27389,-22.81328,K0III,0.649953624098,0.998,False
110823,Alpha Lacertae,HIP 111169,342,10,18.57278,-7.57094,24.14324,A1V,1.27622885733,0.031,False
29198,Alpha Mensae,HIP 29271,819,41,-0.11916,2.66618,-9.79093,G5V,5.04806278969,0.714,True
2076,Ankaa,HIP 2081,105,149,17.43506,2.00814,-15.97244,K0III...,0.52347265636,1.083,False
32521,Alpha Pictoris,HIP 32607,787,224,-2.97877,13.95645,-26.77402,A7IV,0.829936015125,0.225,False
118318,Alpha Tauri B,Gl 171.1B,563,144,6.86598,17.86679,5.67447,dM2,11.9987551584,None,False
8777,Alpha Trianguli,HIP 8796,422,106,15.0568,8.09722,9.70373,F6IV,1.95230868816,0.488,False
76036,Alphekka,HIP 76267,351,439,-12.12313,-16.48652,10.299,A0V,0.419921240208,0.032,False
97726,Alshain,HIP 98036,173,573,6.5685,-11.93415,1.5299,G8IVvar,3.02512648115,0.855,False
97339,Altair,HIP 97649,348,317,2.36166,-4.49935,0.79277,A7IV-V,2.20392806201,0.221,False
69452,Arcturus,HIP 69673,424,382,-8.82091,-5.93145,3.699,K2IIIp,-0.306712839293,1.239,False
118652,B 1663B,Gl 368.1B,777,309,-13.38057,8.62302,-20.83386,,9.90690344355,None,False
61429,B 230AB,HIP 61621,796,431,-30.3663,-5.04123,-15.77812,F0V,2.71524045835,0.334,False
67529,B 2323,HIP 67742,12,371,-9.13259,-4.88694,-12.75524,K1V,6.29165974011,0.891,True
46272,B 2530,HIP 46404,670,379,-24.46136,19.14882,-3.304,G2V,2.90642837072,0.642,False
117176,B 620AB,HIP 117542,154,149,22.01896,-0.93766,-12.41919,K1V,5.86463407171,0.839,False
1004,BAG 19,HIP 1006,330,105,26.85718,1.47293,10.71152,,9.36161166616,1.48,False
75490,BAG 25,HIP 75718,94,472,-12.05692,-15.45431,-3.22639,K2V,5.39956605606,0.788,False
116691,BAG 30,HIP 117059,340,78,13.98873,-0.98751,8.94998,M5,12.0047336398,1.55,True
