,﻿hyg_id,name,code,x,y,3d_x,3d_y,3d_z,spectrum,absmag,colorindex,habitable,number_matches,type_matches,class_matches,complete,class,type
18,11521,13 Trianguli,HIP 11548,452,119,21.25214,16.13256,15.362229999999998,G0V,3.44808010285,0.591,True,True,True,True,True,G,V
19,44910,13 Ursae Majoris,HIP 45038,506,547,-5.87139,5.36169,18.85446,F7IV-V,3.24521169514,0.489,False,True,True,True,True,F,V
20,69314,14 Boötis,HIP 69536,443,428,-27.02717,-17.90397,7.46053,F6IV,2.91994488125,0.537,True,True,True,True,True,F,V
21,15206,14 Eridani,HIP 15244,481,176,22.39896,25.902820000000002,-5.5186,F1V,3.43922321194,0.407,False,True,True,True,True,F,V
22,79010,14 Herculis,HIP 79248,364,451,-6.0250699999999995,-11.62398,12.5635,K0V,5.31615205513,0.877,False,True,True,True,True,K,V
23,102475,15 Delphini,HIP 102805,239,594,19.47042,-21.317429999999998,6.424259999999999,F5V,3.65522585383,0.42,False,True,True,True,True,F,V
24,47977,15 Leonis Minoris,HIP 48113,561,525,-10.75067,6.94252,13.26201,G2V,3.7523989471300006,0.619,True,True,True,True,True,G,V
25,107633,15 Pegasi,HIP 107975,285,24,20.586579999999998,-12.80165,13.32385,F6IVWVAR,3.31054150815,0.426,False,True,True,True,True,F,V
26,96595,16 Cygni B,HIP 96901,324,537,5.85449,-12.29238,16.527260000000002,G5V,4.5965844028300005,0.661,False,True,True,True,True,G,V
27,72939,16 Librae,HIP 73165,76,466,-19.918570000000003,-19.43505,-2.115,F0V,2.24123404083,0.318,False,True,True,True,True,F,V
28,116130,16 Piscium,HIP 116495,265,135,30.80348,-3.1847,1.13665,F6VBWVAR,3.2239948270200003,0.449,False,True,True,True,True,F,V
31,60169,17 Virginis,HIP 60353,734,474,-29.552809999999997,-2.91533,2.75775,F8V,4.0871677671399995,0.567,False,True,True,True,True,F,V
32,69767,18 Boötis,HIP 69989,432,423,-20.86925,-14.514000000000001,5.8707400000000005,F5IV,3.32769409627,0.385,False,True,True,True,True,F,V
33,3551,18 Ceti,HIP 3559,244,158,30.446240000000003,6.12223,-7.10146,G2V,3.6339565785000003,0.603,True,True,True,True,True,G,V
34,39922,18 Puppis,HIP 40035,657,290,-11.78705,18.38381,-5.363659999999999,F7V,3.7703356472400005,0.488,True,True,True,True,True,F,V
35,79432,18 Scorpii,HIP 79672,110,504,-6.10353,-12.46146,-2.04115,G1V,4.75544764926,0.652,True,True,True,True,True,G,V
36,3899,19 Ceti,HIP 3909,329,220,14.8304,3.29656,-2.85518,F7IV-V,4.2241857557,0.514,False,True,True,True,True,F,V
37,48693,19 Leonis Minoris,HIP 48833,578,504,-18.75771,11.08381,18.97695,F6VS,2.80600799647,0.481,False,True,True,True,True,F,V
38,16986,21 Eridani,HIP 17027,523,169,20.19334,28.577890000000004,-3.44688,K1V,3.2396479602900006,0.921,False,True,True,True,True,K,V
39,49451,21 Leonis Minoris,HIP 49593,590,493,-20.126910000000002,10.7661,16.12827,A7V,2.25820168116,0.19,False,True,True,True,True,A,V
40,36336,22 Lyncis,HIP 36439,562,589,-4.924869999999999,11.89983,15.17133,F6V,3.8556803304600002,0.47,False,True,True,True,True,F,V
41,1084,23 Andromedae,HIP 1086,356,59,26.355929999999997,1.55608,22.97968,F0IV,2.98955120191,0.331,False,True,True,True,True,F,V
43,32353,23 H. Camelopardalis,HIP 32439,470,565,-0.64783,3.16716,17.5556,F8V,4.18171552244,0.525,False,True,True,True,True,F,V
44,74273,23 Librae,HIP 74500,64,441,-15.40652,-17.33481,-10.96722,G5V,4.42420917391,0.691,False,True,True,True,True,G,V
46,50174,24 Leonis Minoris,HIP 50316,602,481,-25.25724,12.25489,15.358670000000002,G0V,3.9342501083999997,0.635,True,True,True,True,True,G,V
48,85774,26 Draconis,HIP 86036,380,507,-0.72335,-6.601560000000001,12.42502,G0V,4.48567997506,0.602,False,True,True,True,True,G,V
49,119165,26 Draconis B,Gl 684  B,380,507,-0.72416,-6.60005,12.42578,K3 V,7.31567997506,1.1,False,True,True,True,True,K,V
50,82942,26 Ophiuchi,HIP 83196,127,407,-7.7865899999999995,-29.140309999999996,-14.058010000000001,F3V,3.1292223816900004,0.407,False,True,True,True,True,F,V
51,98716,27 Cygni,HIP 99031,282,551,10.255239999999999,-16.67529,14.209270000000002,K0IV,3.4618523614599996,0.85,False,True,True,True,True,K,V
52,17609,27 Eridani,HIP 17651,728,123,9.03882,13.766820000000001,-7.075080000000001,F3/F5V,2.95278180705,0.434,False,True,True,True,True,F,V
53,11814,29 Arietis,HIP 11843,450,154,21.7764,17.15211,7.445460000000001,F8V,3.7103907316800004,0.572,False,True,True,True,True,F,V
58,42319,3 Ursae Majoris,HIP 42438,502,558,-3.8576599999999996,4.63028,12.93649,G1.5VB,4.85766058747,0.618,False,True,True,True,True,G,V
59,40760,30 Lyncis,HIP 40875,549,558,-9.72289,13.830010000000001,26.78697,F4V,3.38637290946,0.421,False,True,True,True,True,F,V
60,86348,31 Draconis A,HIP 86614,396,524,-0.53178,-6.733860000000001,20.97531,F5IV-V,2.85432245774,0.434,False,True,True,True,True,F,V
61,86354,31 Draconis B,HIP 86620,396,524,-0.53757,-6.81813,21.24782,G0V,4.06639006999,0.53,False,True,True,True,True,G,V
62,46376,31 Hydrae,HIP 46509,621,350,-13.511610000000001,10.44792,-0.8260700000000001,F6V,3.4250368197500003,0.411,False,True,True,True,True,F,V
64,110203,33 Pegasi,HIP 110548,283,57,28.920690000000004,-12.92838,12.064210000000001,F7V,3.54911007989,0.518,False,True,True,True,True,F,V
65,52165,33 Sextantis,HIP 52316,688,430,-32.37056,11.55777,-1.04487,K1IV,3.5679720109400006,0.88,False,True,True,True,True,K,V
66,86965,35 Draconis,HIP 87234,400,532,-0.3335,-7.2391,31.29526,F6IV-VS,2.48589560341,0.518,False,True,True,True,True,F,V
67,50177,35 Leonis,HIP 50319,614,473,-25.05084,12.14509,12.10677,G2IV,3.53861797417,0.655,False,True,True,True,True,G,V
