hyg_id,name,code,x,y,3d_x,3d_y,3d_z,spectrum,absmag,colorindex,habitable,number_matches,type_matches,class_matches,complete,class,type
67089,Alkaid,HIP 67301,450,468,-17.95173,-9.10176,23.4111,B3V SB,-0.5979452599,-0.099,False,True,True,True,True,B,V
65273,Alcor,HIP 65477,458,475,-13.30018,-5.1871,20.37899,A5V SB,2.010590031,0.169,False,True,True,True,True,A,V
21368,Aldebaran,HIP 21421,563,144,6.86574,17.86724,5.67336,K5III,-0.6312448416,1.538,False,True,True,True,True,K,I
104862,Alderamin,HIP 105199,379,559,5.24926,-4.46051,13.28094,A7IV-V,1.5751822061,0.257,False,True,True,True,True,A,V
14540,Algol,HIP 14576,485,84,14.64569,15.7288,18.65323,B8V,-0.1809912142,-0.003,False,True,True,True,True,B,V
31601,Alhena,HIP 31681,615,96,-5.04957,30.40998,9.07235,A0IV,-0.6048020584,0.001,False,True,True,True,True,A,V
108923,Alnair,HIP 109268,120,217,18.74799,-9.94423,-22.72651,B7IV,-0.7334197996,-0.07,False,True,True,True,True,B,V
21717,Alpha Caeli,HIP 21770,758,147,5.09346,14.10202,-13.43586,F2V,2.9204708,0.342,False,True,True,True,True,F,V
62922,Alpha Canum Venaticorum B,HIP 63121,488,451,-19.05638,-4.75217,15.5189,F0V,3.6175839183,0.337,False,True,True,True,True,F,V
71457,Rigel Kentaurus A,HIP 71683,411,314,-0.50362,-0.42139,-1.17665,G2V,4.3423706795,0.71,False,True,True,True,True,G,V
71454,Rigel Kentaurus B,HIP 71681,411,314,-0.50359,-0.42128,-1.1767,K1V,5.7023706795,0.9,False,True,True,True,True,K,V
40587,Alpha Chamaeleontis,HIP 40702,827,265,-2.5021,3.6229,-18.95048,F5III,2.604815595,0.413,False,True,True,True,True,F,I
71683,Alpha Circini,HIP 71908,22,332,-5.26576,-4.51774,-14.86173,F1VP,2.1055809751,0.256,False,True,True,True,True,F,V
64038,Alpha Comae Berenices,HIP 64241,471,395,-13.02735,-4.10703,4.31443,F5V,3.53958819,0.455,False,True,True,True,True,F,V
118870,Alpha Comae Berenices B,HD 114379,471,395,-13.02724,-4.10791,4.31391,F5 V,4.38958819,None,False,True,True,True,True,F,V
59021,Alpha Corvi,HIP 59199,799,537,-13.40549,-0.49229,-6.17816,F0IV/V,3.173264069,0.334,False,True,True,True,True,F,V
14843,Alpha Fornacis,HIP 14879,766,96,8.25704,9.17611,-6.83944,F8V,3.05200574,0.543,False,True,True,True,True,F,V
118198,Alpha Fornacis B,Gl 127  B,766,96,8.25731,9.17489,-6.84076,G7 V,5.95200574,None,False,True,True,True,True,G,V
